,begin,end,file
54,10087,10245,TRAIN/DR1/FECD0/SI2048.WAV
55,10245,10485,TRAIN/DR1/FJSP0/SI1434.WAV
56,10485,10667,TRAIN/DR1/FECD0/SA2.WAV
57,10667,10840,TRAIN/DR1/FECD0/SI2048.WAV
58,10840,11022,TRAIN/DR1/FECD0/SX248.WAV
59,11022,11240,TRAIN/DR1/FETB0/SX338.WAV
60,11240,11458,TRAIN/DR1/FECD0/SX338.WAV
61,11458,11654,TRAIN/DR1/FECD0/SI788.WAV
62,11654,11954,TRAIN/DR1/FJSP0/SA2.WAV
63,11954,12093,TRAIN/DR1/FDML0/SI1779.WAV
64,12093,12317,TRAIN/DR1/FETB0/SI1148.WAV
65,12317,12465,TRAIN/DR1/FDML0/SX339.WAV
66,12465,12681,TRAIN/DR1/FETB0/SA1.WAV
67,12681,12914,TRAIN/DR1/FJSP0/SA1.WAV
68,12914,13314,TRAIN/DR1/FJSP0/SA2.WAV
69,13314,13470,TRAIN/DR1/FECD0/SA2.WAV
70,13470,13727,TRAIN/DR1/FETB0/SI1778.WAV
71,13727,13920,TRAIN/DR1/FECD0/SX338.WAV
72,13920,14163,TRAIN/DR1/FECD0/SX248.WAV
73,14163,14386,TRAIN/DR1/FECD0/SI788.WAV
74,14386,14577,TRAIN/DR1/FETB0/SI1148.WAV
75,14577,14780,TRAIN/DR1/FECD0/SX158.WAV
76,14780,14911,TRAIN/DR1/FDML0/SI1779.WAV
77,14911,15081,TRAIN/DR1/FECD0/SI2048.WAV
78,15081,15404,TRAIN/DR1/FJSP0/SI804.WAV
79,15404,15643,TRAIN/DR1/FETB0/SI518.WAV
80,15643,15870,TRAIN/DR1/FECD0/SX68.WAV
81,15870,16036,TRAIN/DR1/FECD0/SI2048.WAV
82,16036,16259,TRAIN/DR1/FETB0/SX248.WAV
83,16259,16422,TRAIN/DR1/FDML0/SI2075.WAV
84,16422,16716,TRAIN/DR1/FKFB0/SX258.WAV
85,16716,16901,TRAIN/DR1/FECD0/SX68.WAV
86,16901,17215,TRAIN/DR1/FKFB0/SX348.WAV
87,17215,17345,TRAIN/DR1/FDML0/SI2075.WAV
88,17345,17511,TRAIN/DR1/FDML0/SX69.WAV
89,17511,17678,TRAIN/DR1/FECD0/SI788.WAV
90,17678,17883,TRAIN/DR1/FECD0/SX428.WAV
91,17883,18065,TRAIN/DR1/FECD0/SI1418.WAV
92,18065,18262,TRAIN/DR1/FECD0/SI788.WAV
93,18262,18388,TRAIN/DR1/FECD0/SA2.WAV
94,18388,18610,TRAIN/DR1/FJSP0/SA1.WAV
95,18610,18753,TRAIN/DR1/FDML0/SX429.WAV
96,18753,18942,TRAIN/DR1/FECD0/SX68.WAV
97,18942,19098,TRAIN/DR1/FECD0/SA2.WAV
98,19098,19246,TRAIN/DR1/FECD0/SA1.WAV
99,19246,19416,TRAIN/DR1/FECD0/SX428.WAV
100,19416,19641,TRAIN/DR1/FECD0/SX338.WAV
101,19641,19804,TRAIN/DR1/FECD0/SI2048.WAV
102,19804,19904,TRAIN/DR1/FDAW0/SX146.WAV
103,19904,20107,TRAIN/DR1/FECD0/SX428.WAV
104,20107,20389,TRAIN/DR1/FJSP0/SX444.WAV
105,20389,20614,TRAIN/DR1/FETB0/SX338.WAV
106,20614,20790,TRAIN/DR1/FECD0/SI2048.WAV
107,20790,20956,TRAIN/DR1/FECD0/SI788.WAV
108,20956,21258,TRAIN/DR1/FJSP0/SI1434.WAV
109,21258,21430,TRAIN/DR1/FECD0/SX248.WAV
110,21430,21647,TRAIN/DR1/FETB0/SA1.WAV
111,21647,21824,TRAIN/DR1/FECD0/SI2048.WAV
112,21824,22107,TRAIN/DR1/FJSP0/SX84.WAV
113,22107,22262,TRAIN/DR1/FDML0/SX249.WAV
114,22262,22524,TRAIN/DR1/FKFB0/SA2.WAV
115,22524,22682,TRAIN/DR1/FDML0/SX429.WAV
116,22682,22870,TRAIN/DR1/FECD0/SX338.WAV
117,22870,23007,TRAIN/DR1/FDML0/SI1149.WAV
118,23007,23162,TRAIN/DR1/FECD0/SA2.WAV
119,23162,23319,TRAIN/DR1/FECD0/SA2.WAV
120,23319,23494,TRAIN/DR1/FECD0/SX338.WAV
121,23494,23643,TRAIN/DR1/FECD0/SA2.WAV
122,23643,23821,TRAIN/DR1/FECD0/SX248.WAV
123,23821,24075,TRAIN/DR1/FJSP0/SX264.WAV
124,24075,24186,TRAIN/DR1/FDML0/SX159.WAV
125,24186,24343,TRAIN/DR1/FECD0/SX248.WAV
126,24343,24503,TRAIN/DR1/FECD0/SX68.WAV
127,24503,24742,TRAIN/DR1/FJSP0/SX264.WAV
128,24742,24886,TRAIN/DR1/FECD0/SA2.WAV
129,24886,25007,TRAIN/DR1/FDML0/SX249.WAV
130,25007,25222,TRAIN/DR1/FECD0/SX248.WAV
131,25222,25380,TRAIN/DR1/FECD0/SA1.WAV
132,25380,25645,TRAIN/DR1/FKFB0/SI2238.WAV
133,25645,25818,TRAIN/DR1/FECD0/SI788.WAV
134,25818,26088,TRAIN/DR1/FJSP0/SX84.WAV
135,26088,26215,TRAIN/DR1/FDML0/SX429.WAV
136,26215,26404,TRAIN/DR1/FECD0/SX428.WAV
137,26404,26535,TRAIN/DR1/FDML0/SA1.WAV
138,26535,26678,TRAIN/DR1/FDML0/SX249.WAV
139,26678,26807,TRAIN/DR1/FDML0/SX249.WAV
140,26807,26999,TRAIN/DR1/FECD0/SX338.WAV
141,26999,27156,TRAIN/DR1/FECD0/SX158.WAV
142,27156,27332,TRAIN/DR1/FECD0/SX68.WAV
143,27332,27596,TRAIN/DR1/FJSP0/SX264.WAV
144,27596,27837,TRAIN/DR1/FETB0/SI1778.WAV
145,27837,28006,TRAIN/DR1/FECD0/SX338.WAV
146,28006,28159,TRAIN/DR1/FECD0/SA1.WAV
147,28159,28295,TRAIN/DR1/FDML0/SI1149.WAV
148,28295,28430,TRAIN/DR1/FDML0/SX159.WAV
149,28430,28554,TRAIN/DR1/FDML0/SA2.WAV
150,28554,28754,TRAIN/DR1/FECD0/SX248.WAV
151,28754,28922,TRAIN/DR1/FECD0/SI1418.WAV
152,28922,29094,TRAIN/DR1/FETB0/SA2.WAV
153,29094,29235,TRAIN/DR1/FDML0/SX429.WAV
154,29235,29558,TRAIN/DR1/FJSP0/SX84.WAV
155,29558,29808,TRAIN/DR1/FETB0/SX248.WAV
156,29808,29961,TRAIN/DR1/FECD0/SI1418.WAV
157,29961,30124,TRAIN/DR1/FECD0/SI788.WAV
158,30124,30363,TRAIN/DR1/FETB0/SX68.WAV
159,30363,30509,TRAIN/DR1/FECD0/SX248.WAV
160,30509,30690,TRAIN/DR1/FECD0/SX338.WAV
161,30690,30876,TRAIN/DR1/FECD0/SA2.WAV
162,30876,31103,TRAIN/DR1/FECD0/SI788.WAV
163,31103,31226,TRAIN/DR1/FDML0/SX69.WAV
164,31226,31331,TRAIN/DR1/FDAW0/SX146.WAV
165,31331,31516,TRAIN/DR1/FETB0/SX248.WAV
166,31516,31686,TRAIN/DR1/FECD0/SX68.WAV
167,31686,31905,TRAIN/DR1/FETB0/SX428.WAV
168,31905,32103,TRAIN/DR1/FETB0/SX158.WAV
169,32103,32253,TRAIN/DR1/FECD0/SX338.WAV
170,32253,32441,TRAIN/DR1/FETB0/SA2.WAV
171,32441,32586,TRAIN/DR1/FECD0/SI788.WAV
172,32586,32729,TRAIN/DR1/FECD0/SX158.WAV
173,32729,32988,TRAIN/DR1/FJSP0/SX84.WAV
174,32988,33225,TRAIN/DR1/FJSP0/SA1.WAV
175,33225,33384,TRAIN/DR1/FECD0/SX248.WAV
176,33384,33527,TRAIN/DR1/FECD0/SI2048.WAV
177,33527,33671,TRAIN/DR1/FDML0/SI1779.WAV
178,33671,33798,TRAIN/DR1/FDML0/SX69.WAV
179,33798,33921,TRAIN/DR1/FDML0/SI1779.WAV
180,33921,34082,TRAIN/DR1/FECD0/SX338.WAV
181,34082,34262,TRAIN/DR1/FECD0/SA1.WAV
182,34262,34413,TRAIN/DR1/FECD0/SA2.WAV
183,34413,34587,TRAIN/DR1/FECD0/SI2048.WAV
184,34587,34829,TRAIN/DR1/FKFB0/SA2.WAV
185,34829,34987,TRAIN/DR1/FETB0/SI1148.WAV
186,34987,35067,TRAIN/DR1/FDAW0/SX236.WAV
187,35067,35411,TRAIN/DR1/FKFB0/SX348.WAV
188,35411,35598,TRAIN/DR1/FECD0/SX338.WAV
189,35598,35725,TRAIN/DR1/FDML0/SX69.WAV
190,35725,35932,TRAIN/DR1/FECD0/SX338.WAV
191,35932,36120,TRAIN/DR1/FECD0/SA1.WAV
192,36120,36419,TRAIN/DR1/FJSP0/SX354.WAV
193,36419,36640,TRAIN/DR1/FECD0/SI2048.WAV
194,36640,36953,TRAIN/DR1/FJSP0/SX84.WAV
195,36953,37110,TRAIN/DR1/FECD0/SA1.WAV
196,37110,37256,TRAIN/DR1/FDML0/SI1779.WAV
197,37256,37393,TRAIN/DR1/FDML0/SI2075.WAV
198,37393,37546,TRAIN/DR1/FECD0/SA2.WAV
199,37546,37774,TRAIN/DR1/FECD0/SX338.WAV
200,37774,37989,TRAIN/DR1/FETB0/SA1.WAV
201,37989,38180,TRAIN/DR1/FECD0/SX158.WAV
202,38180,38477,TRAIN/DR1/FKFB0/SI2238.WAV
203,38477,38768,TRAIN/DR1/FKFB0/SI1608.WAV
204,38768,38962,TRAIN/DR1/FECD0/SI2048.WAV
205,38962,39159,TRAIN/DR1/FECD0/SX68.WAV
206,39159,39358,TRAIN/DR1/FECD0/SI2048.WAV
207,39358,39583,TRAIN/DR1/FECD0/SX338.WAV
208,39583,39730,TRAIN/DR1/FDML0/SX69.WAV
209,39730,39876,TRAIN/DR1/FDAW0/SX416.WAV
210,39876,40112,TRAIN/DR1/FETB0/SA2.WAV
211,40112,40326,TRAIN/DR1/FECD0/SI1418.WAV
212,40326,40679,TRAIN/DR1/FKFB0/SI2238.WAV
213,40679,40801,TRAIN/DR1/FDAW0/SX56.WAV
214,40801,41069,TRAIN/DR1/FECD0/SX68.WAV
215,41069,41199,TRAIN/DR1/FDML0/SI2075.WAV
216,41199,41436,TRAIN/DR1/FETB0/SA1.WAV
217,41436,41667,TRAIN/DR1/FETB0/SA1.WAV
218,41667,41838,TRAIN/DR1/FDML0/SX249.WAV
219,41838,42006,TRAIN/DR1/FECD0/SX158.WAV
220,42006,42205,TRAIN/DR1/FECD0/SX428.WAV
221,42205,42375,TRAIN/DR1/FECD0/SI1418.WAV
222,42375,42698,TRAIN/DR1/FJSP0/SX174.WAV
223,42698,42795,TRAIN/DR1/FDAW0/SX236.WAV
224,42795,42915,TRAIN/DR1/FDAW0/SX56.WAV
225,42915,43077,TRAIN/DR1/FECD0/SI1418.WAV
226,43077,43272,TRAIN/DR1/FETB0/SI1778.WAV
227,43272,43562,TRAIN/DR1/FJSP0/SX444.WAV
228,43562,43750,TRAIN/DR1/FETB0/SA2.WAV
229,43750,43968,TRAIN/DR1/FJSP0/SI1763.WAV
230,43968,44183,TRAIN/DR1/FECD0/SX68.WAV
231,44183,44368,TRAIN/DR1/FECD0/SA2.WAV
232,44368,44659,TRAIN/DR1/FKFB0/SI1608.WAV
233,44659,44790,TRAIN/DR1/FDML0/SX159.WAV
234,44790,44936,TRAIN/DR1/FECD0/SI1418.WAV
235,44936,45126,TRAIN/DR1/FECD0/SX338.WAV
236,45126,45260,TRAIN/DR1/FDML0/SX429.WAV
237,45260,45473,TRAIN/DR1/FETB0/SI518.WAV
238,45473,45742,TRAIN/DR1/FETB0/SX428.WAV
239,45742,45891,TRAIN/DR1/FECD0/SX428.WAV
240,45891,46135,TRAIN/DR1/FETB0/SA1.WAV
241,46135,46372,TRAIN/DR1/FECD0/SI788.WAV
242,46372,46471,TRAIN/DR1/FDAW0/SX56.WAV
243,46471,46628,TRAIN/DR1/FDML0/SA1.WAV
244,46628,46849,TRAIN/DR1/FECD0/SX248.WAV
245,46849,47048,TRAIN/DR1/FDML0/SX429.WAV
246,47048,47267,TRAIN/DR1/FECD0/SX158.WAV
247,47267,47557,TRAIN/DR1/FKFB0/SI2238.WAV
248,47557,47772,TRAIN/DR1/FETB0/SI1148.WAV
249,47772,48015,TRAIN/DR1/FETB0/SX428.WAV
250,48015,48184,TRAIN/DR1/FECD0/SX248.WAV
251,48184,48314,TRAIN/DR1/FECD0/SA2.WAV
252,48314,48558,TRAIN/DR1/FJSP0/SA2.WAV
253,48558,48816,TRAIN/DR1/FJSP0/SX84.WAV
254,48816,48968,TRAIN/DR1/FECD0/SI1418.WAV
255,48968,49113,TRAIN/DR1/FECD0/SI2048.WAV
256,49113,49249,TRAIN/DR1/FECD0/SA1.WAV
257,49249,49370,TRAIN/DR1/FDML0/SA1.WAV
258,49370,49499,TRAIN/DR1/FDML0/SX339.WAV
259,49499,49630,TRAIN/DR1/FDML0/SA2.WAV
260,49630,49819,TRAIN/DR1/FECD0/SX338.WAV
261,49819,49958,TRAIN/DR1/FECD0/SA1.WAV
262,49958,50216,TRAIN/DR1/FJSP0/SI804.WAV
263,50216,50324,TRAIN/DR1/FDML0/SA1.WAV
264,50324,50469,TRAIN/DR1/FDML0/SI2075.WAV
265,50469,50577,TRAIN/DR1/FDML0/SX69.WAV
266,50577,50743,TRAIN/DR1/FETB0/SI1148.WAV
267,50743,50935,TRAIN/DR1/FECD0/SX338.WAV
268,50935,51168,TRAIN/DR1/FETB0/SX158.WAV
269,51168,51363,TRAIN/DR1/FETB0/SX68.WAV
270,51363,51532,TRAIN/DR1/FECD0/SX338.WAV
271,51532,51675,TRAIN/DR1/FECD0/SA1.WAV
272,51675,51823,TRAIN/DR1/FECD0/SI2048.WAV
273,51823,51977,TRAIN/DR1/FETB0/SA2.WAV
274,51977,52109,TRAIN/DR1/FDML0/SX429.WAV
275,52109,52292,TRAIN/DR1/FETB0/SX158.WAV
276,52292,52410,TRAIN/DR1/FDML0/SA1.WAV
277,52410,52539,TRAIN/DR1/FDML0/SA2.WAV
278,52539,52732,TRAIN/DR1/FETB0/SX68.WAV
279,52732,52888,TRAIN/DR1/FECD0/SX158.WAV
280,52888,53129,TRAIN/DR1/FECD0/SX428.WAV
281,53129,53322,TRAIN/DR1/FECD0/SX248.WAV
282,53322,53417,TRAIN/DR1/FDAW0/SX236.WAV
283,53417,53698,TRAIN/DR1/FJSP0/SX354.WAV
284,53698,54006,TRAIN/DR1/FJSP0/SI804.WAV
285,54006,54204,TRAIN/DR1/FECD0/SI2048.WAV
286,54204,54364,TRAIN/DR1/FECD0/SI2048.WAV
287,54364,54574,TRAIN/DR1/FECD0/SX338.WAV
288,54574,54850,TRAIN/DR1/FETB0/SX68.WAV
289,54850,54991,TRAIN/DR1/FDML0/SX249.WAV
290,54991,55241,TRAIN/DR1/FECD0/SX68.WAV
291,55241,55521,TRAIN/DR1/FECD0/SA2.WAV
292,55521,55824,TRAIN/DR1/FKFB0/SI2238.WAV
293,55824,55992,TRAIN/DR1/FDAW0/SX416.WAV
294,55992,56229,TRAIN/DR1/FECD0/SX428.WAV
295,56229,56396,TRAIN/DR1/FDML0/SX249.WAV
296,56396,56622,TRAIN/DR1/FECD0/SX338.WAV
297,56622,56878,TRAIN/DR1/FETB0/SI518.WAV
298,56878,57167,TRAIN/DR1/FETB0/SX428.WAV
299,57167,57385,TRAIN/DR1/FECD0/SA1.WAV
300,57385,57582,TRAIN/DR1/FETB0/SA2.WAV
301,57582,57745,TRAIN/DR1/FECD0/SA2.WAV
302,57745,57993,TRAIN/DR1/FKFB0/SX258.WAV
303,57993,58176,TRAIN/DR1/FECD0/SX158.WAV
304,58176,58333,TRAIN/DR1/FDML0/SX339.WAV
305,58333,58461,TRAIN/DR1/FECD0/SA1.WAV
306,58461,58636,TRAIN/DR1/FETB0/SA1.WAV
307,58636,58779,TRAIN/DR1/FDML0/SX339.WAV
308,58779,58978,TRAIN/DR1/FECD0/SX68.WAV
309,58978,59187,TRAIN/DR1/FJSP0/SI1434.WAV
310,59187,59437,TRAIN/DR1/FETB0/SA2.WAV
311,59437,59666,TRAIN/DR1/FECD0/SI788.WAV
312,59666,60013,TRAIN/DR1/FKFB0/SA2.WAV
313,60013,60248,TRAIN/DR1/FECD0/SX338.WAV
314,60248,60431,TRAIN/DR1/FECD0/SA1.WAV
315,60431,60636,TRAIN/DR1/FECD0/SA1.WAV
316,60636,60881,TRAIN/DR1/FETB0/SI518.WAV
317,60881,61128,TRAIN/DR1/FETB0/SI518.WAV
318,61128,61323,TRAIN/DR1/FETB0/SA2.WAV
319,61323,61520,TRAIN/DR1/FECD0/SI1418.WAV
320,61520,61713,TRAIN/DR1/FETB0/SA1.WAV
321,61713,61857,TRAIN/DR1/FECD0/SA2.WAV
322,61857,62124,TRAIN/DR1/FKFB0/SI2238.WAV
323,62124,62233,TRAIN/DR1/FDML0/SI1149.WAV
324,62233,62412,TRAIN/DR1/FETB0/SI1778.WAV
325,62412,62579,TRAIN/DR1/FECD0/SI2048.WAV
326,62579,62668,TRAIN/DR1/FDML0/SI1149.WAV
327,62668,62803,TRAIN/DR1/FDML0/SA1.WAV
328,62803,63004,TRAIN/DR1/FETB0/SX338.WAV
329,63004,63184,TRAIN/DR1/FECD0/SX68.WAV
330,63184,63419,TRAIN/DR1/FETB0/SA1.WAV
331,63419,63684,TRAIN/DR1/FECD0/SA2.WAV
332,63684,63833,TRAIN/DR1/FDAW0/SX56.WAV
333,63833,64198,TRAIN/DR1/FJSP0/SX354.WAV
334,64198,64504,TRAIN/DR1/FKFB0/SA1.WAV
335,64504,64715,TRAIN/DR1/FECD0/SI788.WAV
336,64715,64853,TRAIN/DR1/FDML0/SI1149.WAV
337,64853,64988,TRAIN/DR1/FDAW0/SX56.WAV
338,64988,65224,TRAIN/DR1/FETB0/SX68.WAV
339,65224,65479,TRAIN/DR1/FECD0/SX248.WAV
340,65479,65670,TRAIN/DR1/FECD0/SX248.WAV
341,65670,65798,TRAIN/DR1/FECD0/SI1418.WAV
342,65798,66005,TRAIN/DR1/FETB0/SX248.WAV
343,66005,66153,TRAIN/DR1/FDML0/SA2.WAV
344,66153,66370,TRAIN/DR1/FJSP0/SX444.WAV
345,66370,66527,TRAIN/DR1/FECD0/SX68.WAV
346,66527,66740,TRAIN/DR1/FDML0/SX339.WAV
347,66740,66983,TRAIN/DR1/FJSP0/SX174.WAV
348,66983,67089,TRAIN/DR1/FDML0/SI1779.WAV
349,67089,67211,TRAIN/DR1/FDML0/SX69.WAV
350,67211,67442,TRAIN/DR1/FECD0/SX338.WAV
351,67442,67617,TRAIN/DR1/FECD0/SI1418.WAV
352,67617,67766,TRAIN/DR1/FDML0/SA1.WAV
353,67766,67937,TRAIN/DR1/FDML0/SX249.WAV
354,67937,68196,TRAIN/DR1/FJSP0/SI804.WAV
355,68196,68372,TRAIN/DR1/FECD0/SX68.WAV
356,68372,68547,TRAIN/DR1/FDML0/SX429.WAV
357,68547,68709,TRAIN/DR1/FECD0/SA2.WAV
358,68709,68918,TRAIN/DR1/FETB0/SI1148.WAV
359,68918,69136,TRAIN/DR1/FECD0/SX338.WAV
360,69136,69296,TRAIN/DR1/FECD0/SX248.WAV
361,69296,69489,TRAIN/DR1/FECD0/SA2.WAV
362,69489,69690,TRAIN/DR1/FKFB0/SX258.WAV
363,69690,69765,TRAIN/DR1/FDAW0/SX326.WAV
364,69765,69912,TRAIN/DR1/FECD0/SI2048.WAV
365,69912,70061,TRAIN/DR1/FECD0/SA1.WAV
366,70061,70193,TRAIN/DR1/FECD0/SI1418.WAV
367,70193,70346,TRAIN/DR1/FECD0/SX158.WAV
368,70346,70559,TRAIN/DR1/FJSP0/SI1434.WAV
369,70559,70650,TRAIN/DR1/FDML0/SA2.WAV
370,70650,70875,TRAIN/DR1/FETB0/SA1.WAV
371,70875,71064,TRAIN/DR1/FECD0/SI1418.WAV
372,71064,71363,TRAIN/DR1/FJSP0/SX84.WAV
373,71363,71536,TRAIN/DR1/FECD0/SX338.WAV
374,71536,71682,TRAIN/DR1/FDML0/SX339.WAV
375,71682,71855,TRAIN/DR1/FECD0/SX338.WAV
376,71855,72027,TRAIN/DR1/FECD0/SA2.WAV
377,72027,72169,TRAIN/DR1/FDML0/SI2075.WAV
378,72169,72322,TRAIN/DR1/FECD0/SX158.WAV
379,72322,72530,TRAIN/DR1/FETB0/SX158.WAV
380,72530,72742,TRAIN/DR1/FECD0/SX68.WAV
381,72742,72920,TRAIN/DR1/FECD0/SX158.WAV
382,72920,73219,TRAIN/DR1/FKFB0/SA2.WAV
383,73219,73361,TRAIN/DR1/FDML0/SA1.WAV
384,73361,73535,TRAIN/DR1/FDML0/SX249.WAV
385,73535,73717,TRAIN/DR1/FECD0/SX248.WAV
386,73717,73887,TRAIN/DR1/FETB0/SA2.WAV
387,73887,74124,TRAIN/DR1/FJSP0/SI1434.WAV
388,74124,74323,TRAIN/DR1/FECD0/SI1418.WAV
389,74323,74465,TRAIN/DR1/FECD0/SI1418.WAV
390,74465,74713,TRAIN/DR1/FETB0/SA2.WAV
391,74713,74954,TRAIN/DR1/FECD0/SX68.WAV
392,74954,75267,TRAIN/DR1/FJSP0/SX444.WAV
393,75267,75436,TRAIN/DR1/FECD0/SI788.WAV
394,75436,75745,TRAIN/DR1/FKFB0/SA1.WAV
395,75745,75931,TRAIN/DR1/FDML0/SX69.WAV
396,75931,76109,TRAIN/DR1/FECD0/SI788.WAV
397,76109,76219,TRAIN/DR1/FDAW0/SX326.WAV
398,76219,76431,TRAIN/DR1/FECD0/SX68.WAV
399,76431,76632,TRAIN/DR1/FDML0/SX249.WAV
400,76632,76840,TRAIN/DR1/FETB0/SA2.WAV
401,76840,77047,TRAIN/DR1/FECD0/SI1418.WAV
402,77047,77134,TRAIN/DR1/FDML0/SI2075.WAV
403,77134,77248,TRAIN/DR1/FDML0/SA1.WAV
404,77248,77468,TRAIN/DR1/FKFB0/SI2238.WAV
405,77468,77650,TRAIN/DR1/FDML0/SX339.WAV
406,77650,77853,TRAIN/DR1/FETB0/SX158.WAV
407,77853,78054,TRAIN/DR1/FETB0/SI518.WAV
408,78054,78215,TRAIN/DR1/FETB0/SI1148.WAV
409,78215,78376,TRAIN/DR1/FECD0/SA2.WAV
410,78376,78583,TRAIN/DR1/FECD0/SX68.WAV
411,78583,78758,TRAIN/DR1/FECD0/SI1418.WAV
412,78758,78918,TRAIN/DR1/FECD0/SX68.WAV
413,78918,79195,TRAIN/DR1/FJSP0/SX84.WAV
414,79195,79345,TRAIN/DR1/FDML0/SX429.WAV
415,79345,79476,TRAIN/DR1/FDML0/SX339.WAV
416,79476,79633,TRAIN/DR1/FECD0/SI2048.WAV
417,79633,79817,TRAIN/DR1/FECD0/SX428.WAV
418,79817,80078,TRAIN/DR1/FETB0/SX68.WAV
419,80078,80216,TRAIN/DR1/FDML0/SX339.WAV
420,80216,80431,TRAIN/DR1/FETB0/SA2.WAV
421,80431,80635,TRAIN/DR1/FECD0/SX248.WAV
422,80635,80829,TRAIN/DR1/FECD0/SX428.WAV
423,80829,81020,TRAIN/DR1/FECD0/SX158.WAV
424,81020,81333,TRAIN/DR1/FKFB0/SX438.WAV
425,81333,81463,TRAIN/DR1/FDML0/SI2075.WAV
426,81463,81595,TRAIN/DR1/FDML0/SX249.WAV
427,81595,81864,TRAIN/DR1/FKFB0/SA1.WAV
428,81864,82031,TRAIN/DR1/FECD0/SX428.WAV
429,82031,82230,TRAIN/DR1/FECD0/SI2048.WAV
430,82230,82464,TRAIN/DR1/FECD0/SX68.WAV
431,82464,82631,TRAIN/DR1/FECD0/SI1418.WAV
432,82631,82940,TRAIN/DR1/FKFB0/SX258.WAV
433,82940,83094,TRAIN/DR1/FDML0/SA2.WAV
434,83094,83396,TRAIN/DR1/FKFB0/SX438.WAV
435,83396,83556,TRAIN/DR1/FDML0/SX429.WAV
436,83556,83767,TRAIN/DR1/FECD0/SX338.WAV
437,83767,83897,TRAIN/DR1/FDAW0/SX56.WAV
438,83897,84070,TRAIN/DR1/FECD0/SI2048.WAV
439,84070,84222,TRAIN/DR1/FDML0/SX69.WAV
440,84222,84448,TRAIN/DR1/FETB0/SA2.WAV
441,84448,84627,TRAIN/DR1/FECD0/SI788.WAV
442,84627,84955,TRAIN/DR1/FJSP0/SX84.WAV
443,84955,85244,TRAIN/DR1/FETB0/SX68.WAV
444,85244,85362,TRAIN/DR1/FDAW0/SX326.WAV
